album,album_date,photo_count,bucket,reason,matched_post_id,matched_post_title,containment,date_delta_days,marker,needs_review_subtype
25 amazing photos of Nick Carter at Venue,2016-11-25,27,REPAIR,strong title + in-window + dead-gallery marker,65411,25 amazing photos of Nick Carter at Venue in Vancouver,1.00,1,jig2;fbcdn,
54-40,2017-10-08,27,REPAIR,strong title + in-window + dead-gallery marker,67670,Photos of 54-40 at The Commodore Ballroom in Vancouver,1.00,2,jig2;fbcdn,
6th Annual UBCP/ACTRA Awards Red Carpet,2017-11-20,45,REPAIR,strong title + in-window + dead-gallery marker,67477,Photos: 6th Annual UBCP/ACTRA Awards Red Carpet,1.00,0,jig2;fbcdn,
A Perfect Circle,2017-12-05,31,REPAIR,strong title + in-window + dead-gallery marker,67481,Photos: A Perfect Circle @ P.N.E. Coliseum in Vancouver,1.00,1,jig2;fbcdn,
A Tribe Called Red,2018-03-13,18,REPAIR,strong title + in-window + dead-gallery marker,67482,Photos: A Tribe Called Red @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
A Tribe Called Red with Saul Williams,2016-11-21,27,REPAIR,strong title + in-window + dead-gallery marker,67671,Photos of A Tribe Called Red with Saul Williams at the Commodore Ballroom,1.00,0,oauth,
AC/DC,2015-09-23,17,REPAIR,strong title + in-window + dead-gallery marker,65497,AC/DC at BC Place,1.00,0,oauth,
Action Bronson,2017-10-30,29,REPAIR,strong title + in-window + dead-gallery marker,67483,Photos: Action Bronson @ The Commodore Ballroom in Vancouver,1.00,1,jig2;fbcdn,
AFI with The Chain Gang Of 1974,2017-01-30,62,REPAIR,strong title + in-window + dead-gallery marker,67672,Photos of AFI with The Chain Gang Of 1974,1.00,0,jig2;fbcdn,
Alan Doyle,2015-03-07,9,REPAIR,strong title + in-window + dead-gallery marker,65519,Alan Doyle at The Vogue Theatre,1.00,5,oauth,
Alessia Cara at Vogue Theatre,2016-04-03,28,REPAIR,strong title + in-window + dead-gallery marker,67673,Photos of Alessia Cara at the Vogue Theatre,1.00,1,jig2;fbcdn,
Alice Cooper at Queen Elizabeth Theatre,2016-10-25,20,REPAIR,strong title + in-window + dead-gallery marker,65399,20 Photos of Alice Cooper at Queen Elizabeth Theatre,1.00,0,jig2;fbcdn,
Alice In Chains @ The Queen Elizabeth Theatre,2018-08-24,39,REPAIR,strong title + in-window + dead-gallery marker,67490,Photos: Alice In Chains @ The Queen Elizabeth Theatre,1.00,0,oauth,
Allah Las - Levitation,2016-06-21,23,REPAIR,strong title + in-window + dead-gallery marker,65409,23 Photos of Allah Las at Levitation Vancouver,1.00,1,jig2;fbcdn,
Amanda Palmer,2015-03-19,8,REPAIR,strong title + in-window + dead-gallery marker,65546,Amanda Palmer at The Vogue Theatre,1.00,0,jig2;fbcdn,
Amon Amarth,2016-05-31,38,REPAIR,strong title + in-window + dead-gallery marker,67674,Photos of Amon Amarth at Commodore Ballroom,1.00,0,oauth,
An Evening with Fleetwood Mac | Rogers Arena | Nov.14/2018,2018-11-16,29,REPAIR,strong title + in-window + dead-gallery marker,67493,Photos: An Evening with Fleetwood Mac @ Rogers Arena,1.00,0,jig2;fbcdn,
Angus and Julia Stone,2014-10-11,9,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),65570,Angus and Julia Stone at Vogue Theatre,1.00,6,fbcdn,
Apocalyptica Plays Metallica By Four Cellos,2017-09-26,53,REPAIR,strong title + in-window + dead-gallery marker,67496,Photos: Apocalyptica Plays Metallica By Four Cellos at The Commodore Ballroom,1.00,0,jig2;fbcdn,
Arcade Fire with Phantogram,2017-10-17,50,REPAIR,strong title + in-window + dead-gallery marker,67497,Photos: Arcade Fire  // Infinite Content Tour with Phantogram,1.00,0,jig2;fbcdn,
"Archspire, the Zenith Passage and Ogroem at the Biltmore, 6/11/14",2014-06-16,20,REPAIR,strong title + in-window + dead-gallery marker,65584,"Archspire, the Zenith Passage and Ogroem at the Biltmore",1.00,2,jig2;fbcdn,
Arctic Monkeys @ The P.N.E. Coliseum,2018-10-29,30,REPAIR,strong title + in-window + dead-gallery marker,67498,Photos: Arctic Monkeys @ The P.N.E. Coliseum | Oct.25/2018,1.00,1,jig2;fbcdn,
