SPAM CLEANUP LIST — Vancouver Weekly
Generated: 2026-06-16
======================================================================

TOTAL: 297 confirmed spam posts (3 published, 294 draft)
SOURCE: November 2021 injection batch — static import artifact, not active
        All posts have pharma drug-brand titles and pharma-specific categories.
        Rich content (long bodies, featured images) is spam content — not editorial.

SAFE TO TRASH: all entries below.
  — None are editorial articles.
  — Borderline file: 0 cases — no false positives found.

----------------------------------------------------------------------
SECTION A: PUBLISHED (3) — must trash individually or review
----------------------------------------------------------------------
      ID  Date          Status    Title
   66586  2021-11-08    publish   Ivera chain 7210 color
   68224  2021-11-10    publish   Securom failed to initialize crysis 3
   68189  2021-11-16    publish   Scaboma lotion price

----------------------------------------------------------------------
SECTION B: DRAFTS (294) — bulk trash
----------------------------------------------------------------------
      ID  Date          Status    Title
   66326  2021-11-04    draft     Gotas quanox
   67361  2021-11-05    draft     Para q sirve las gotas de simpiox
   67403  2021-11-05    draft     Para que sirve la simpiox
   67375  2021-11-05    draft     Para que sirve el medicamento de ivexterm
   65643  2021-11-05    draft     Barato revectina
   68197  2021-11-05    draft     Scaboma plus lotion uses
   67359  2021-11-05    draft     Para q sirve ivexterm 6 mg
   66688  2021-11-05    draft     Ivexterm medicamento
   68238  2021-11-05    draft     Securonix snypr architecture
   66542  2021-11-05    draft     Invertex medicamento precio
   68110  2021-11-05    draft     Revectina similar
   66594  2021-11-05    draft     Ivergol
   68106  2021-11-05    draft     Revectina posologia
   68242  2021-11-05    draft     Securonix snypr platform
   66648  2021-11-05    draft     Ivexterm 4 tabletas para que sirve
   68248  2021-11-05    draft     Securovision lunettes
   67969  2021-11-05    draft     Preiswert ivermec
   66708  2021-11-05    draft     Ivexterm precio en farmacia guadalajara
   65633  2021-11-05    draft     Barato ivectin
   68230  2021-11-05    draft     Securonix gartner
   65794  2021-11-05    draft     Bula revectina
   65885  2021-11-05    draft     Cher ivergot
   66860  2021-11-05    draft     Kaufen ivenox
   65986  2021-11-05    draft     Compre simpiox
   67377  2021-11-05    draft     Para que sirve el medicamento ivexterm tabletas
   66750  2021-11-05    draft     Ivomec for goats
   68212  2021-11-05    draft     Securo 6 mg precio
   67426  2021-11-05    draft     Pas revectina
   66604  2021-11-06    draft     Ivergot gotas venezuela
   66738  2021-11-06    draft     Ivexterm venta mexico
   68216  2021-11-06    draft     Securo dosis
   66616  2021-11-06    draft     Ivermax dosage for humans
   66706  2021-11-06    draft     Ivexterm precio chedraui
   66624  2021-11-06    draft     Ivermec dose
   65984  2021-11-06    draft     Compre quanox
   66918  2021-11-06    draft     Kjope ivera
   66924  2021-11-06    draft     Kobe ivera
   67022  2021-11-06    draft     Levne ivermec
   68292  2021-11-06    draft     Simpiox gotas contraindicaciones
   65974  2021-11-06    draft     Comprare quanox
   65879  2021-11-06    draft     Cheap ivermec
   66650  2021-11-06    draft     Ivexterm 6 mg 4 tabletas dosis
   68035  2021-11-06    draft     Quanox locion precio
   66950  2021-11-06    draft     Koupit ivectin
   68280  2021-11-06    draft     Simpiox como se toma gotas
   65453  2021-11-06    draft     A buon mercato simpiox
   67139  2021-11-06    draft     Medicamento ivexterm precio
   68218  2021-11-06    draft     Securo pastillas precio
   65498  2021-11-06    draft     Acheter revectina
   66718  2021-11-06    draft     Ivexterm prospecto
   67971  2021-11-06    draft     Preiswert kilox
   67973  2021-11-06    draft     Preiswert revectina
   66596  2021-11-06    draft     Ivergot dosis
   68047  2021-11-06    draft     Que significa simpiox
   66944  2021-11-06    draft     Kopen ivectin
   67379  2021-11-06    draft     Para que sirve el medicamento kilox
   67143  2021-11-06    draft     Medicamento securo
   66710  2021-11-07    draft     Ivexterm precio espana
   68084  2021-11-07    draft     Remedio revectina
   67391  2021-11-07    draft     Para que sirve ivergot en gotas
   66670  2021-11-07    draft     Ivexterm 6 mg
   66886  2021-11-07    draft     Kilox gotas precio la rebaja
   66760  2021-11-07    draft     Ivomec pour on kaufen
   65976  2021-11-07    draft     Comprare securo
   65952  2021-11-07    draft     Como tomar ivexterm niños
   66894  2021-11-07    draft     Kilox vademecum
   65637  2021-11-07    draft     Barato ivermec
   68290  2021-11-07    draft     Simpiox gotas 5ml para que sirve
   68003  2021-11-07    draft     Quanox componentes
   68193  2021-11-07    draft     Scaboma lotion uses in marathi
   67357  2021-11-07    draft     Para q sirve el simpiox gotas
